<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBERP;10;04/01/18;10:10;197.7900000
SBERP;10;04/01/18;10:20;197.6800000
SBERP;10;04/01/18;10:30;197.4300000
SBERP;10;04/01/18;10:40;197.9000000
SBERP;10;04/01/18;10:50;197.4200000
SBERP;10;04/01/18;11:00;197.4800000
SBERP;10;04/01/18;11:10;197.5400000
SBERP;10;04/01/18;11:20;198.5300000
SBERP;10;04/01/18;11:30;198.5900000
SBERP;10;04/01/18;11:40;198.5100000
SBERP;10;04/01/18;11:50;198.3000000
SBERP;10;04/01/18;12:00;198.7200000
SBERP;10;04/01/18;12:10;198.8400000
SBERP;10;04/01/18;12:20;199.1100000
SBERP;10;04/01/18;12:30;199.2200000
SBERP;10;04/01/18;12:40;199.7000000
SBERP;10;04/01/18;12:50;199.8900000
SBERP;10;04/01/18;13:00;200.6100000
SBERP;10;04/01/18;13:10;200.7100000
SBERP;10;04/01/18;13:20;200.8800000
SBERP;10;04/01/18;13:30;200.8200000
SBERP;10;04/01/18;13:40;201.2000000
SBERP;10;04/01/18;13:50;201.6200000
SBERP;10;04/01/18;14:00;201.7300000
SBERP;10;04/01/18;14:10;201.7200000
SBERP;10;04/01/18;14:20;201.3000000
SBERP;10;04/01/18;14:30;201.0800000
SBERP;10;04/01/18;14:40;200.9500000
SBERP;10;04/01/18;14:50;201.0100000
SBERP;10;04/01/18;15:00;201.4500000
SBERP;10;04/01/18;15:10;201.4200000
SBERP;10;04/01/18;15:20;201.7000000
SBERP;10;04/01/18;15:30;201.5500000
SBERP;10;04/01/18;15:40;202.8000000
SBERP;10;04/01/18;15:50;203.6000000
SBERP;10;04/01/18;16:00;203.8800000
SBERP;10;04/01/18;16:10;203.9800000
SBERP;10;04/01/18;16:20;203.4900000
SBERP;10;04/01/18;16:30;203.3200000
SBERP;10;04/01/18;16:40;203.1700000
SBERP;10;04/01/18;16:50;203.8300000
SBERP;10;04/01/18;17:00;203.7900000
SBERP;10;04/01/18;17:10;203.6600000
SBERP;10;04/01/18;17:20;203.3500000
SBERP;10;04/01/18;17:30;203.7400000
SBERP;10;04/01/18;17:40;203.7600000
SBERP;10;04/01/18;17:50;203.5000000
SBERP;10;04/01/18;18:00;203.7400000
SBERP;10;04/01/18;18:10;203.6800000
SBERP;10;04/01/18;18:20;203.8900000
SBERP;10;04/01/18;18:30;203.2100000
SBERP;10;04/01/18;18:40;203.1300000
SBERP;10;04/01/18;18:50;203.0300000
SBERP;10;05/01/18;10:10;203.5300000
SBERP;10;05/01/18;10:20;203.6400000
SBERP;10;05/01/18;10:30;203.8000000
SBERP;10;05/01/18;10:40;203.7500000
SBERP;10;05/01/18;10:50;204.1300000
SBERP;10;05/01/18;11:00;203.7200000
SBERP;10;05/01/18;11:10;204.3700000
